,RF_Accuracy,SVM_accuracy,KNN_accuracy
Room Lab1,81.0%,85.7%,81.0%
Room Lab2,85.7%,85.7%,81.0%
Room Lab1 & Lab2,78.0%,92.7%,85.4%
