,RF_Accuracy,SVM_accuracy,KNN_accuracy
Room Lab1,61.9%,42.9%,38.1%
Room Lab2,61.9%,42.9%,38.1%
Room Lab1 & Lab2,70.7%,39.0%,36.6%
